country_name,region,incomegroup,year,life_expectancy_world_bank,prevelance_of_undernourishment,co2,health_expenditure_per,education_expenditure_per,unemployment,sanitation,injuries,communicable,noncommunicable,year_dt
Iraq,Middle_East_&_North_Africa,Upper_middle_income,2003,68.64,20.2,81279.9987792969,2.99,4.6,8.82,34.43,2653768.21,3081027.51,4866321.77,2003
Iceland,Europe_&_Central_Asia,High_income,2003,80.96,2.5,2230.00001907349,9.73,7.25,4.0,47.97,6133.1,3148.46,56283.62,2003
Israel,Middle_East_&_North_Africa,High_income,2003,79.65,2.5,62930.0003051758,7.07,6.35,13.51,82.09,183939.46,94391.32,1225317.92,2003
Italy,Europe_&_Central_Asia,High_income,2003,79.98,2.5,462200.012207031,7.83,4.54,8.87,95.65,1323198.78,613641.69,15603430.94,2003
Jamaica,Latin_America_&_Caribbean,Upper_middle_income,2003,74.14,7.0,10590.0001525879,4.22,4.26,11.73,38.16,55021.99,136178.11,466301.82,2003
Jordan,Middle_East_&_North_Africa,Upper_middle_income,2003,72.26,6.3,17309.9994659424,8.84,3.5,14.5,75.6,138941.75,252240.09,745660.88,2003
Japan,East_Asia_&_Pacific,High_income,2003,81.76,2.5,1214949.95117188,7.49,3.47,5.25,74.36,3744347.9,1972128.54,28449721.23,2003
Kazakhstan,Europe_&_Central_Asia,Upper_middle_income,2003,65.74,7.1,146139.999389648,3.72,2.86,8.78,40.62,1169591.78,952729.35,4620625.04,2003
Kenya,Sub-Saharan_Africa,Lower_middle_income,2003,52.41,34.9,6530.00020980835,5.17,6.49,2.97,21.3,848472.73,16738010.08,4134060.35,2003
Cambodia,East_Asia_&_Pacific,Lower_middle_income,2003,61.24,19.4,2380.00011444092,6.95,1.72,1.11,47.86,568646.42,3424163.41,2490510.44,2003
Kiribati,East_Asia_&_Pacific,Lower_middle_income,2003,64.0,5.0,39.9999991059303,10.67,11.98,2.1900000000000004,18.34,4050.76,19251.16,28645.27,2003
Kuwait,Middle_East_&_North_Africa,High_income,2003,73.36,2.5,58119.9989318848,2.76,4.57,1.3,100.0,52509.7,42181.6,284637.92,2003
Lebanon,Middle_East_&_North_Africa,Lower_middle_income,2003,75.97,9.6,17409.9998474121,8.67,2.29,7.99,9.85,95682.17,148199.4,789011.19,2003
Liberia,Sub-Saharan_Africa,Low_income,2003,53.55,37.6,479.999989271164,3.66,2.17,2.18,9.4,308828.27,1908624.74,458230.72,2003
Sri_Lanka,South_Asia,Lower_middle_income,2003,73.8,15.7,12409.9998474121,3.77,1.98,8.22,32.1,905036.77,801085.54,3627426.31,2003
Lesotho,Sub-Saharan_Africa,Lower_middle_income,2003,43.84,16.8,409.999996423721,6.05,13.22,32.96,13.76,141656.85,1519004.23,382575.7,2003
Lithuania,Europe_&_Central_Asia,High_income,2003,72.06,2.5,11229.9995422363,6.19,5.11,12.87,80.9,263355.26,65862.12,1047691.08,2003
Luxembourg,Europe_&_Central_Asia,High_income,2003,77.73,2.5,10239.9997711182,6.97,3.71,3.68,90.99,12618.87,5459.05,108267.98,2003
Latvia,Europe_&_Central_Asia,High_income,2003,71.27,2.8,7590.00015258789,5.49,5.06,12.06,52.35,169439.49,51864.61,808789.01,2003
Morocco,Middle_East_&_North_Africa,Lower_middle_income,2003,70.4,5.6,37250.0,4.55,5.3,11.92,33.57,1354350.41,3450561.11,5774570.31,2003
Moldova,Europe_&_Central_Asia,Upper_middle_income,2003,67.52,3.4,7769.99998092651,7.02,5.42,7.95,40.62,225330.19,151904.29,1291216.1,2003
Madagascar,Sub-Saharan_Africa,Low_income,2003,60.26,36.5,1549.99995231628,4.75,2.61,5.01,4.56,489933.95,7407485.9,2840668.24,2003
Mexico,Latin_America_&_Caribbean,Upper_middle_income,2003,75.12,4.3,404690.002441406,5.81,5.07,3.46,19.99,3638564.34,5353287.65,17546298.9,2003
North_Macedonia,Europe_&_Central_Asia,Upper_middle_income,2003,73.24,5.8,9140.00034332275,9.01,3.3,36.69,12.93,67938.68,47067.02,594895.4,2003
Mali,Sub-Saharan_Africa,Low_income,2003,50.37,15.1,1399.99997615814,5.05,3.81,7.9,8.06,651226.14,10023158.9,2157201.46,2003
Malta,Middle_East_&_North_Africa,High_income,2003,78.55,2.5,2609.99989509583,7.9,5.5,7.49,91.87,8407.42,5593.49,94143.2,2003
Myanmar,East_Asia_&_Pacific,Lower_middle_income,2003,60.99,32.4,10489.9997711182,2.38,2.0,0.66,59.56,2496420.77,12502845.17,12097762.23,2003
Mongolia,East_Asia_&_Pacific,Lower_middle_income,2003,64.23,30.8,9310.0004196167,3.51,4.83,6.8,34.59,158965.18,274424.75,609888.73,2003
Mozambique,Sub-Saharan_Africa,Low_income,2003,49.89,34.1,1899.99997615814,3.42,5.87,2.94,9.4,725043.61,14934964.78,2899878.3,2003
Mauritania,Sub-Saharan_Africa,Lower_middle_income,2003,61.02,8.3,1480.00001907349,4.03,2.37,9.79,21.3,103176.16,935953.5,401128.2,2003
Malawi,Sub-Saharan_Africa,Low_income,2003,46.05,24.6,750.0,4.67,3.22,5.8,19.94,398181.05,10242590.66,1989778.64,2003
Malaysia,East_Asia_&_Pacific,Upper_middle_income,2003,73.17,2.9,144490.005493164,2.92,7.5,3.61,66.28,708228.6,1020104.86,3881643.76,2003
Niger,Sub-Saharan_Africa,Low_income,2003,51.95,28.5,759.999990463257,4.78,1.94,2.32,7.96,582537.84,12545697.83,2126811.44,2003
Nicaragua,Latin_America_&_Caribbean,Lower_middle_income,2003,70.64,25.0,4559.99994277954,6.08,2.42,7.6,43.99,168175.68,338011.25,725394.63,2003
Netherlands,Europe_&_Central_Asia,High_income,2003,78.49,2.5,170360.000610352,9.06,5.04,3.59,97.44,329301.9,240375.13,3918928.31,2003
Norway,Europe_&_Central_Asia,High_income,2003,79.39,2.5,37169.9981689453,9.21,7.42,4.22,59.56,124390.75,59921.1,1110136.11,2003
Nepal,South_Asia,Lower_middle_income,2003,64.17,19.8,3019.99998092651,3.85,3.11,1.6,14.52,904366.41,5906071.55,3983774.88,2003
New_Zealand,East_Asia_&_Pacific,High_income,2003,79.15,2.5,33400.0015258789,7.72,6.44,4.75,76.04,151215.92,43258.07,856307.27,2003
Oman,Middle_East_&_North_Africa,High_income,2003,73.45,11.0,31700.0007629395,3.17,3.9,4.23,86.51,139131.28,80119.82,345476.72,2003
Pakistan,South_Asia,Lower_middle_income,2003,63.52,21.0,105660.003662109,2.43,2.49,0.59,32.1,4453982.47,58252314.37,28672597.35,2003
Panama,Latin_America_&_Caribbean,High_income,2003,75.56,21.0,5530.00020980835,6.62,4.17,3.79,62.86,102998.13,147750.07,464193.79,2003
Peru,Latin_America_&_Caribbean,Upper_middle_income,2003,72.24,23.1,27159.9998474121,4.59,2.94,4.15,15.85,954588.92,2239457.96,3883934.92,2003
Philippines,East_Asia_&_Pacific,Lower_middle_income,2003,68.94,17.0,73629.997253418,3.08,2.94,3.53,44.22,2828924.42,9779953.02,14030094.2,2003
Papua_New_Guinea,East_Asia_&_Pacific,Lower_middle_income,2003,59.97,27.7,4079.99992370605,2.45,1.92,2.62,47.86,268894.03,1645830.36,1197912.3,2003
Poland,Europe_&_Central_Asia,High_income,2003,74.6,2.5,297730.010986328,5.95,5.32,19.37,81.11,1687029.99,569869.45,10147101.01,2003
Portugal,Europe_&_Central_Asia,High_income,2003,77.22,2.5,60520.0004577637,9.12,5.28,6.13,51.17,318157.92,223907.14,2911603.37,2003
Paraguay,Latin_America_&_Caribbean,Upper_middle_income,2003,71.25,8.8,3940.00005722046,4.91,3.38,6.81,46.78,189062.36,353119.74,814702.05,2003
Qatar,Middle_East_&_North_Africa,High_income,2003,77.92,2.7,34740.0016784668,3.5,3.37,0.86,71.1,31027.77,15273.48,97349.67,2003
Romania,Europe_&_Central_Asia,High_income,2003,71.31,2.5,98139.9993896484,5.37,3.54,6.95,52.01,969813.36,664627.28,7001311.36,2003
Rwanda,Sub-Saharan_Africa,Low_income,2003,52.18,34.6,550.000011920929,8.02,3.99,0.94,9.4,512176.72,4862941.85,1400810.54,2003
Saudi_Arabia,Middle_East_&_North_Africa,High_income,2003,73.05,5.1,284829.986572266,3.98,7.11,5.56,38.5,1229326.53,899803.71,3392473.94,2003
Sudan,Sub-Saharan_Africa,Low_income,2003,59.67,20.0,7929.99982833862,3.89,1.43,15.07,9.4,1887946.74,8971072.38,6024222.23,2003
Senegal,Sub-Saharan_Africa,Lower_middle_income,2003,59.26,21.4,4489.99977111816,4.3,2.75,6.69,14.99,297691.29,4376668.74,1641700.51,2003
Singapore,East_Asia_&_Pacific,High_income,2003,79.04,2.5,38159.9998474121,3.61,3.98,5.93,100.0,79777.86,64181.47,598024.83,2003
Solomon_Islands,East_Asia_&_Pacific,Lower_middle_income,2003,68.52,12.6,270.000010728836,7.08,9.81,1.66,47.86,32004.1,103604.02,128173.79,2003
Sierra_Leone,Sub-Saharan_Africa,Low_income,2003,42.42,49.4,550.000011920929,10.83,3.26,3.42,9.57,228360.19,4196099.95,998688.01,2003
El_Salvador,Latin_America_&_Caribbean,Lower_middle_income,2003,69.68,7.9,6510.00022888184,8.41,3.13,6.26,43.99,372630.55,358096.29,964202.93,2003
Serbia,Europe_&_Central_Asia,Upper_middle_income,2003,72.44,2.7,52150.0015258789,8.13,4.05,15.2,21.7,362813.9,200853.45,3074737.05,2003
Sao_Tome_and_Principe,Sub-Saharan_Africa,Lower_middle_income,2003,63.36,11.2,70.0000002980232,12.62,3.25,16.36,15.91,3268.34,36798.71,24566.31,2003
Suriname,Latin_America_&_Caribbean,Upper_middle_income,2003,68.28,10.9,1230.00001907349,5.23,5.53,10.31,30.19,21436.67,48564.29,100073.18,2003
Slovenia,Europe_&_Central_Asia,High_income,2003,76.86,2.5,15409.9998474121,8.1,5.7,6.48,30.95,104388.95,26656.58,513516.48,2003
Sweden,Europe_&_Central_Asia,High_income,2003,80.1,2.5,55200.0007629395,8.32,6.79,5.55,93.19,234749.38,98821.88,2276542.45,2003
Eswatini,Sub-Saharan_Africa,Lower_middle_income,2003,43.37,8.3,629.999995231628,6.38,5.82,25.94,21.3,68970.61,829308.94,195241.76,2003
Chad,Sub-Saharan_Africa,Low_income,2003,48.06,38.0,449.999988079071,5.51,2.31,0.84,8.67,426747.34,8088451.1,1575091.13,2003
Togo,Sub-Saharan_Africa,Low_income,2003,53.94,29.8,1830.00004291534,2.94,3.33,4.08,6.08,201977.56,2893773.85,808789.94,2003
Thailand,East_Asia_&_Pacific,Upper_middle_income,2003,71.39,15.0,191929.992675781,3.24,3.73,1.54,20.34,3734354.51,4087341.81,12185650.34,2003
Tajikistan,Europe_&_Central_Asia,Lower_middle_income,2003,64.5,2.5,2180.0000667572,4.7,2.42,14.02,51.39,228674.67,1024284.57,1102951.18,2003
Turkmenistan,Europe_&_Central_Asia,Upper_middle_income,2003,64.39,5.2,46349.9984741211,8.51,3.08,8.99,40.62,164907.34,484584.03,915858.4,2003
Tonga,East_Asia_&_Pacific,Upper_middle_income,2003,69.8,4.0,119.999997317791,3.56,4.16,5.18,33.24,2331.5,6828.25,19302.89,2003
Trinidad_and_Tobago,Latin_America_&_Caribbean,High_income,2003,70.16,11.1,15449.9998092651,4.19,3.14,10.48,62.86,52987.32,71816.48,306623.83,2003
Tunisia,Middle_East_&_North_Africa,Lower_middle_income,2003,73.84,4.5,21500.0,5.46,6.82,14.51,57.52,345407.22,416406.45,1803462.22,2003
Tanzania,Sub-Saharan_Africa,Lower_middle_income,2003,52.87,32.5,3759.99999046326,5.34,3.65,3.11,8.4,1133846.16,22468524.91,5900775.63,2003
Uganda,Sub-Saharan_Africa,Low_income,2003,49.42,28.5,1570.00005245209,4.3,2.13,3.6,9.4,1149188.22,19448354.28,3834705.97,2003
Ukraine,Europe_&_Central_Asia,Lower_middle_income,2003,68.21,2.5,330230.010986328,6.55,5.4,9.06,43.31,3572333.54,1453838.21,19117507.94,2003
Uruguay,Latin_America_&_Caribbean,High_income,2003,75.37,3.7,4489.99977111816,9.62,2.07,16.66,62.86,129793.6,100127.89,825732.29,2003
United_States,North_America,High_income,2003,77.04,2.5,5658990.234375,14.5,4.93,5.99,97.7,9241871.8,5184451.51,76608660.74,2003
Uzbekistan,Europe_&_Central_Asia,Lower_middle_income,2003,67.87,18.7,121910.003662109,5.5,5.74,9.11,51.39,1052570.77,2760204.91,5617673.34,2003
Vietnam,East_Asia_&_Pacific,Lower_middle_income,2003,73.65,16.3,70900.0015258789,3.67,4.81,2.25,47.86,2804478.48,5164997.29,13434886.98,2003
Vanuatu,East_Asia_&_Pacific,Lower_middle_income,2003,67.99,7.2,90.0000035762787,3.51,8.44,1.74,47.86,9029.13,30743.31,41554.31,2003
Samoa,East_Asia_&_Pacific,Lower_middle_income,2003,69.78,3.4,170.000001788139,4.29,4.71,5.16,47.86,6091.23,9081.61,36329.18,2003
Zambia,Sub-Saharan_Africa,Low_income,2003,46.32,28.5,2079.99992370605,7.19,3.75,14.69,9.4,402061.15,8969310.67,1751025.27,2003
Angola,Sub-Saharan_Africa,Lower_middle_income,2004,49.26,55.1,17450.0007629395,3.97,2.92,3.92,21.3,1272980.01,10920209.2,2951780.84,2004
Albania,Europe_&_Central_Asia,Upper_middle_income,2004,75.04,8.6,4250.0,6.77,3.23,16.31,41.36,102317.3,108336.45,570380.53,2004
United_Arab_Emirates,Middle_East_&_North_Africa,High_income,2004,75.17,6.9,110010.00213623,2.46,3.87,2.91,74.57,166721.14,69572.29,562289.69,2004
Argentina,Latin_America_&_Caribbean,Upper_middle_income,2004,74.28,4.0,141380.004882813,7.23,3.49,13.52,48.69,1322976.39,1516113.41,8238572.94,2004
Armenia,Europe_&_Central_Asia,Upper_middle_income,2004,72.51,16.0,3759.99999046326,6.06,2.49,10.34,46.58,92640.12,107986.46,783356.25,2004
Antigua_and_Barbuda,Latin_America_&_Caribbean,High_income,2004,74.82,4.4,400.000005960464,5.12,2.58,7.41,62.86,2223.04,3035.49,15005.2,2004
Australia,East_Asia_&_Pacific,High_income,2004,80.49,2.5,365809.997558594,8.11,5.1,5.39,58.79,610320.96,208353.41,4257978.72,2004
Austria,Europe_&_Central_Asia,High_income,2004,79.18,2.5,75800.0030517578,9.71,5.3,5.83,99.67,235461.0,78557.79,2108821.97,2004
Azerbaijan,Europe_&_Central_Asia,Upper_middle_income,2004,68.25,7.4,28309.9994659424,2.67,3.45,7.99,22.37,233436.77,847989.94,1953795.35,2004
Burundi,Sub-Saharan_Africa,Low_income,2004,52.55,28.5,150.000005960464,7.7,3.74,1.6,9.4,1295239.26,4682640.18,1170709.02,2004
Belgium,Europe_&_Central_Asia,High_income,2004,78.88,2.5,114019.996643066,9.37,6.44,7.36,74.73,392992.59,162823.93,2692531.59,2004
Benin,Sub-Saharan_Africa,Lower_middle_income,2004,56.89,13.2,2650.00009536743,3.08,2.57,0.77,21.3,311834.29,4285057.97,1285396.95,2004
Burkina_Faso,Sub-Saharan_Africa,Low_income,2004,52.6,18.1,1059.99994277954,4.22,4.02,3.41,9.4,583615.06,10065033.82,2589369.46,2004
Bangladesh,South_Asia,Lower_middle_income,2004,67.33,14.4,30530.0006866455,2.34,1.94,4.26,21.99,4563857.53,25705226.46,21692522.63,2004
Bulgaria,Europe_&_Central_Asia,Upper_middle_income,2004,72.56,4.9,47270.0004577637,6.89,2.32,12.04,50.43,349654.91,165275.19,3092160.44,2004
Bahrain,Middle_East_&_North_Africa,High_income,2004,75.17,2.7,17930.0003051758,3.47,2.65,1.09,73.03,22082.29,16607.01,126854.1,2004
Belarus,Europe_&_Central_Asia,Upper_middle_income,2004,68.96,3.3,56040.0009155273,5.74,5.71,9.82,83.74,802915.18,214228.32,3621483.98,2004
Belize,Latin_America_&_Caribbean,Upper_middle_income,2004,69.75,5.5,439.999997615814,4.48,5.34,10.59,38.16,13459.24,20210.67,41328.78,2004
Bolivia,Latin_America_&_Caribbean,Lower_middle_income,2004,64.77,27.7,9489.99977111816,4.86,8.26,2.5,31.63,409374.84,1419171.53,1662455.47,2004
Brazil,Latin_America_&_Caribbean,Upper_middle_income,2004,71.53,6.8,328519.989013672,8.12,3.97,9.11,37.42,9418089.35,12935126.56,38277074.18,2004
Barbados,Latin_America_&_Caribbean,High_income,2004,77.81,6.2,1360.00001430511,7.32,6.02,9.57,62.86,7136.88,10755.38,65095.3,2004
Bhutan,South_Asia,Lower_middle_income,2004,64.48,14.4,289.99999165535,4.6,6.61,2.49,63.76,21730.22,125014.03,109501.12,2004
Central_African_Republic,Sub-Saharan_Africa,Low_income,2004,44.41,40.5,230.000004172325,4.3,1.62,5.72,19.49,309406.15,3750581.48,791101.81,2004
Canada,North_America,High_income,2004,79.89,2.5,536419.982910156,9.07,4.9,7.19,78.48,822449.19,385772.09,6873943.59,2004
Switzerland,Europe_&_Central_Asia,High_income,2004,81.09,2.5,45279.9987792969,10.18,5.29,4.32,99.62,236241.81,79630.47,1733898.22,2004
Chile,Latin_America_&_Caribbean,High_income,2004,77.39,3.2,54970.0012207031,6.9,3.54,10.16,53.22,520268.66,304408.35,2979830.61,2004
China,East_Asia_&_Pacific,Upper_middle_income,2004,72.69,7.9,5124819.82421875,4.29,3.67,4.49,18.74,46325296.23,38498088.66,286323816.4,2004
Cote_d'Ivoire,Sub-Saharan_Africa,Lower_middle_income,2004,49.79,19.3,5469.99979019165,5.48,2.91,5.46,21.3,726059.96,12945628.74,2943770.13,2004
Cameroon,Sub-Saharan_Africa,Lower_middle_income,2004,52.32,17.6,5119.99988555908,4.02,2.8,5.14,21.3,680786.36,10759036.96,2811387.65,2004
Colombia,Latin_America_&_Caribbean,Upper_middle_income,2004,74.03,10.6,56110.0006103516,5.8,4.08,12.74,15.83,2754915.9,2109556.86,6558196.58,2004
Comoros,Sub-Saharan_Africa,Lower_middle_income,2004,59.9,12.4,150.000005960464,6.58,2.74,4.57,21.3,18606.81,203337.18,92158.02,2004
Costa_Rica,Latin_America_&_Caribbean,Upper_middle_income,2004,78.0,5.0,5940.00005722046,6.63,4.89,6.39,37.91,118310.83,95750.6,625892.29,2004
Cuba,Latin_America_&_Caribbean,Upper_middle_income,2004,77.5,2.5,25360.0006103516,6.83,10.27,1.85,39.84,336473.43,255707.89,2418478.62,2004
Cyprus,Europe_&_Central_Asia,High_income,2004,78.51,6.9,7780.00020980835,5.41,6.12,4.33,76.24,27841.12,10780.86,207558.98,2004
Germany,Europe_&_Central_Asia,High_income,2004,78.68,2.5,821070.007324219,10.15,4.87,10.73,95.93,1951254.96,894006.79,23086506.4,2004
Djibouti,Middle_East_&_North_Africa,Lower_middle_income,2004,57.68,34.7,400.000005960464,3.32,9.26,27.85,24.88,31210.03,310494.73,111929.31,2004
Denmark,Europe_&_Central_Asia,High_income,2004,77.49,2.5,53729.9995422363,9.01,8.21,5.2,86.8,136977.38,73840.95,1494050.34,2004
Dominican_Republic,Latin_America_&_Caribbean,Upper_middle_income,2004,70.5,23.0,17280.0006866455,4.29,3.65,6.3,38.16,417548.18,991323.53,1506705.59,2004
Algeria,Middle_East_&_North_Africa,Lower_middle_income,2004,72.59,7.0,89489.9978637695,3.54,5.95,17.65,20.86,1414013.92,1992477.02,5660686.24,2004
Ecuador,Latin_America_&_Caribbean,Upper_middle_income,2004,73.89,22.7,26180.0003051758,5.57,4.62,5.0,40.12,677902.51,1017447.4,2158518.12,2004
Eritrea,Sub-Saharan_Africa,Low_income,2004,57.93,28.5,680.000007152557,7.01,3.15,5.37,9.4,264725.48,1977356.35,739117.17,2004
Spain,Europe_&_Central_Asia,High_income,2004,79.87,2.5,335559.997558594,7.66,4.16,11.09,93.38,1125231.17,570733.65,10406636.9,2004
Estonia,Europe_&_Central_Asia,High_income,2004,71.91,2.9,17020.0004577637,5.12,4.88,10.25,92.57,84920.01,26207.89,453513.55,2004
Ethiopia,Sub-Saharan_Africa,Low_income,2004,55.17,39.0,5329.99992370605,4.31,5.06,2.69,3.12,3071688.17,42697369.22,10877287.26,2004
Finland,Europe_&_Central_Asia,High_income,2004,78.71,2.5,67680.0003051758,8.06,6.16,10.36,81.02,222200.16,55255.78,1342822.28,2004
Fiji,East_Asia_&_Pacific,Upper_middle_income,2004,66.25,3.8,1470.00002861023,3.26,6.21,3.81,34.89,26720.75,60441.39,202382.39,2004
France,Europe_&_Central_Asia,High_income,2004,80.16,2.5,377790.008544922,10.16,5.43,8.91,79.16,2078906.62,798311.57,14205478.59,2004
United_Kingdom,Europe_&_Central_Asia,High_income,2004,78.75,2.5,543080.017089844,8.39,4.73,4.59,97.79,1235315.8,1054566.56,16246383.11,2004
Georgia,Europe_&_Central_Asia,Upper_middle_income,2004,70.45,4.1,3369.99988555908,8.09,2.91,12.62,45.14,138984.82,173293.38,1439037.26,2004
Ghana,Sub-Saharan_Africa,Lower_middle_income,2004,58.22,12.2,6679.99982833862,2.77,7.54,6.59,5.81,663296.77,8628065.41,3483731.56,2004
Guinea,Sub-Saharan_Africa,Low_income,2004,52.5,28.5,1769.99998092651,4.78,2.21,4.63,9.4,393312.74,5623690.02,1720299.22,2004
Guinea-Bissau,Sub-Saharan_Africa,Low_income,2004,51.88,28.5,200.000002980232,7.48,2.17,6.25,4.76,81445.69,845962.64,267735.2,2004
Greece,Europe_&_Central_Asia,High_income,2004,79.04,2.5,99839.9963378906,8.09,3.67,10.31,79.84,275355.25,123575.74,2910291.16,2004
Grenada,Latin_America_&_Caribbean,Upper_middle_income,2004,73.09,7.3,230.000004172325,5.37,3.74,6.94,38.16,4142.71,4711.69,22236.44,2004
Guatemala,Latin_America_&_Caribbean,Upper_middle_income,2004,69.44,19.1,10750.0,6.26,3.01,2.97,38.16,753117.25,1763047.57,1932690.7,2004
Guyana,Latin_America_&_Caribbean,Upper_middle_income,2004,66.41,6.9,1669.99995708466,3.44,5.51,11.27,38.16,50018.0,93996.77,174445.11,2004
Honduras,Latin_America_&_Caribbean,Lower_middle_income,2004,71.77,22.2,7559.99994277954,6.85,6.06,5.99,42.7,364624.17,559243.47,1125383.33,2004
Croatia,Europe_&_Central_Asia,High_income,2004,75.52,3.1,21100.0003814697,6.57,3.79,13.66,78.1,181246.61,68105.46,1321222.84,2004
Haiti,Latin_America_&_Caribbean,Lower_middle_income,2004,58.29,53.7,1669.99995708466,3.45,1.63,13.32,43.99,943226.94,2896578.73,2144564.34,2004
Hungary,Europe_&_Central_Asia,High_income,2004,72.65,2.5,56349.9984741211,7.77,5.33,5.83,64.56,455964.68,138414.06,3515830.62,2004
Indonesia,East_Asia_&_Pacific,Lower_middle_income,2004,66.97,19.1,341239.990234375,2.12,2.75,7.3,47.86,15958395.23,28468267.38,44013193.46,2004
India,South_Asia,Lower_middle_income,2004,64.1,22.1,1085670.04394531,3.96,3.35,5.63,13.38,52419380.18,249700603.7,196723887.9,2004
Ireland,Europe_&_Central_Asia,High_income,2004,78.54,2.5,44689.998626709,7.22,4.48,4.49,60.19,101314.56,55808.03,904593.99,2004
Iraq,Middle_East_&_North_Africa,Upper_middle_income,2004,68.44,19.4,88110.0006103516,3.84,4.6,8.61,34.94,2767089.68,2963264.74,4942637.65,2004
Iceland,Europe_&_Central_Asia,High_income,2004,81.0,2.5,2319.9999332428,9.33,7.16,4.03,50.03,6202.93,3132.88,56652.89,2004
Israel,Middle_East_&_North_Africa,High_income,2004,80.15,2.5,63159.9998474121,7.01,5.94,13.03,82.85,180914.47,91959.73,1233136.51,2004
Italy,Europe_&_Central_Asia,High_income,2004,80.78,2.5,472399.993896484,8.17,4.39,7.87,95.65,1254436.15,595200.0,15465842.2,2004
Jamaica,Latin_America_&_Caribbean,Upper_middle_income,2004,74.15,7.1,10569.9996948242,4.8,3.91,12.21,38.16,55564.51,133694.66,459039.96,2004
Jordan,Middle_East_&_North_Africa,Upper_middle_income,2004,72.43,5.7,18579.9999237061,8.75,3.5,14.58,75.72,140546.19,252021.27,777986.98,2004
Japan,East_Asia_&_Pacific,High_income,2004,82.03,2.5,1209849.97558594,7.54,3.43,4.73,74.8,3732029.28,1967885.35,28696534.33,2004
Kazakhstan,Europe_&_Central_Asia,Upper_middle_income,2004,66.06,7.5,158029.998779297,3.98,2.26,8.4,40.62,1234002.24,941261.73,4666297.17,2004
Kenya,Sub-Saharan_Africa,Lower_middle_income,2004,53.48,32.1,7440.00005722046,5.34,6.8,2.94,21.3,894196.56,16477901.4,4292616.28,2004
Cambodia,East_Asia_&_Pacific,Lower_middle_income,2004,62.19,18.5,2380.00011444092,7.09,1.72,1.13,47.86,563936.73,3225225.42,2517443.82,2004
Kiribati,East_Asia_&_Pacific,Lower_middle_income,2004,64.24,5.1,50.0000007450581,12.42,11.98,2.1900000000000004,19.11,4094.49,19181.83,29020.97,2004
Kuwait,Middle_East_&_North_Africa,High_income,2004,73.44,2.5,61909.9998474121,2.36,5.54,1.7,100.0,56006.06,43518.93,298499.0,2004
Lebanon,Middle_East_&_North_Africa,Lower_middle_income,2004,76.43,10.7,17879.9991607666,8.0,2.64,7.85,10.27,92765.89,146492.12,807244.72,2004
Liberia,Sub-Saharan_Africa,Low_income,2004,54.42,36.5,560.000002384186,9.17,2.17,2.17,9.4,91027.35,1826646.59,462934.07,2004
Sri_Lanka,South_Asia,Lower_middle_income,2004,74.34,15.0,12869.9998855591,4.18,1.98,8.38,32.1,2793428.24,765471.81,3661596.41,2004
Lesotho,Sub-Saharan_Africa,Lower_middle_income,2004,43.08,15.3,430.000007152557,6.06,11.11,32.18,15.96,146952.14,1575203.08,391376.82,2004
Lithuania,Europe_&_Central_Asia,High_income,2004,71.96,2.5,11909.9998474121,5.51,5.17,10.68,81.36,258109.96,67047.75,1052291.19,2004
Luxembourg,Europe_&_Central_Asia,High_income,2004,79.12,2.5,11659.9998474121,7.35,3.71,5.11,91.02,12342.13,5365.51,109201.12,2004
Latvia,Europe_&_Central_Asia,High_income,2004,72.03,2.5,7619.99988555908,6.22,4.83,11.71,52.25,160876.77,49649.87,801959.22,2004
Morocco,Middle_East_&_North_Africa,Lower_middle_income,2004,71.07,5.5,40990.0016784668,4.73,5.3,10.83,34.13,1373064.68,3298844.98,5879310.99,2004
Moldova,Europe_&_Central_Asia,Upper_middle_income,2004,67.67,3.4,7780.00020980835,8.97,6.77,8.17,40.62,221088.61,150566.02,1280968.08,2004
Madagascar,Sub-Saharan_Africa,Low_income,2004,60.75,35.0,1649.99997615814,5.25,2.81,3.83,4.9,507803.58,7367280.55,2890146.3,2004
Mexico,Latin_America_&_Caribbean,Upper_middle_income,2004,75.24,4.6,414100.006103516,5.95,4.73,3.94,21.92,3599996.2,5163901.71,17774283.16,2004
North_Macedonia,Europe_&_Central_Asia,Upper_middle_income,2004,73.6,5.5,8840.00015258789,8.47,3.3,37.16,12.94,64174.29,44304.81,590107.37,2004
Mali,Sub-Saharan_Africa,Low_income,2004,51.22,14.4,1480.00001907349,5.22,3.86,8.75,8.73,555299.08,10072810.42,2202618.27,2004
Malta,Middle_East_&_North_Africa,High_income,2004,79.25,2.5,2599.99990463257,8.05,4.43,7.32,91.87,8514.08,5623.28,94620.48,2004
Myanmar,East_Asia_&_Pacific,Lower_middle_income,2004,61.29,30.2,10149.9996185303,2.32,2.0,0.67,59.86,2495988.71,11905589.43,12220501.01,2004
Mongolia,East_Asia_&_Pacific,Lower_middle_income,2004,64.67,30.7,9560.0004196167,3.57,4.33,6.82,35.58,165445.31,262173.59,619240.13,2004
Mozambique,Sub-Saharan_Africa,Low_income,2004,50.14,34.1,1909.9999666214,3.69,3.33,2.97,9.4,737846.17,14967643.87,2983998.36,2004
Mauritania,Sub-Saharan_Africa,Lower_middle_income,2004,61.17,8.5,1639.99998569489,3.7,1.95,9.81,21.3,101159.87,921169.95,408811.2,2004
Malawi,Sub-Saharan_Africa,Low_income,2004,46.82,24.0,769.999980926514,5.73,4.15,5.82,20.19,392911.38,9987238.65,1993660.22,2004
